INDICATOR,YEAR,WHOREGION,COUNTRY,EXPENDITURES
Per capita total expenditure on health (PPP int. $),1999,Americas,Antigua and Barbuda,651.4
Per capita total expenditure on health (PPP int. $),2003,Americas,Antigua and Barbuda,694.4
Per capita total expenditure on health (PPP int. $),2004,Americas,Antigua and Barbuda,696.3
Per capita total expenditure on health (PPP int. $),2006,Americas,Antigua and Barbuda,951.1
Per capita total expenditure on health (PPP int. $),2009,Americas,Antigua and Barbuda,960.5
Per capita total expenditure on health (PPP int. $),1997,Americas,Antigua and Barbuda,608.8
Per capita total expenditure on health (PPP int. $),2001,Americas,Antigua and Barbuda,624.9
Per capita total expenditure on health (PPP int. $),2005,Americas,Antigua and Barbuda,827.2
Per capita total expenditure on health (PPP int. $),2000,Americas,Antigua and Barbuda,592.1
Per capita total expenditure on health (PPP int. $),2002,Americas,Antigua and Barbuda,635.5
Per capita total expenditure on health (PPP int. $),2011,Americas,Antigua and Barbuda,1061
Per capita total expenditure on health (PPP int. $),2007,Americas,Antigua and Barbuda,1083.6
Per capita total expenditure on health (PPP int. $),1995,Americas,Antigua and Barbuda,581.2
Per capita total expenditure on health (PPP int. $),2008,Americas,Antigua and Barbuda,1066.7
Per capita total expenditure on health (PPP int. $),2010,Americas,Antigua and Barbuda,1108.1
Per capita total expenditure on health (PPP int. $),1996,Americas,Antigua and Barbuda,581
Per capita total expenditure on health (PPP int. $),2012,Americas,Antigua and Barbuda,1029.4
Per capita total expenditure on health at average exchange rate (US$),2000,Americas,Antigua and Barbuda,407.8
Per capita total expenditure on health at average exchange rate (US$),2001,Americas,Antigua and Barbuda,429.3
Per capita total expenditure on health at average exchange rate (US$),2002,Americas,Antigua and Barbuda,432.6
Per capita total expenditure on health at average exchange rate (US$),1995,Americas,Antigua and Barbuda,352.2
Per capita total expenditure on health at average exchange rate (US$),1998,Americas,Antigua and Barbuda,387.8
Per capita total expenditure on health at average exchange rate (US$),1999,Americas,Antigua and Barbuda,400.9
Per capita total expenditure on health at average exchange rate (US$),1996,Americas,Antigua and Barbuda,354.9
Per capita total expenditure on health at average exchange rate (US$),1997,Americas,Antigua and Barbuda,372.8
Per capita total expenditure on health at average exchange rate (US$),2003,Americas,Antigua and Barbuda,457.4
Per capita total expenditure on health at average exchange rate (US$),2004,Americas,Antigua and Barbuda,453.2
Per capita total expenditure on health at average exchange rate (US$),2011,Americas,Antigua and Barbuda,702.9
Per capita total expenditure on health at average exchange rate (US$),2010,Americas,Antigua and Barbuda,735.7
Per capita total expenditure on health at average exchange rate (US$),2009,Americas,Antigua and Barbuda,637.5
Per capita total expenditure on health at average exchange rate (US$),2007,Americas,Antigua and Barbuda,697.6
Per capita total expenditure on health at average exchange rate (US$),2012,Americas,Antigua and Barbuda,681
Per capita total expenditure on health at average exchange rate (US$),2005,Americas,Antigua and Barbuda,543.6
Per capita total expenditure on health at average exchange rate (US$),2006,Americas,Antigua and Barbuda,607.5
Per capita total expenditure on health at average exchange rate (US$),2008,Americas,Antigua and Barbuda,701.7
Per capita government expenditure on health (PPP int. $),2005,Americas,Argentina,483.4
Per capita government expenditure on health (PPP int. $),2002,Americas,Argentina,352.9
Per capita government expenditure on health (PPP int. $),2004,Americas,Argentina,408.9
Per capita government expenditure on health (PPP int. $),2001,Americas,Argentina,447.6
Per capita government expenditure on health (PPP int. $),2000,Americas,Argentina,453.3
Per capita government expenditure on health (PPP int. $),1999,Americas,Argentina,469
Per capita government expenditure on health (PPP int. $),1995,Americas,Argentina,387.9
Per capita government expenditure on health (PPP int. $),1996,Americas,Argentina,383.7
Per capita government expenditure on health (PPP int. $),1997,Americas,Argentina,410.7
Per capita government expenditure on health (PPP int. $),2003,Americas,Argentina,371
Per capita government expenditure on health (PPP int. $),1998,Americas,Argentina,434.2
Per capita government expenditure on health (PPP int. $),2008,Americas,Argentina,739.1
Per capita government expenditure on health (PPP int. $),2010,Americas,Argentina,835.5
Per capita government expenditure on health (PPP int. $),2009,Americas,Argentina,905.5
Per capita government expenditure on health (PPP int. $),2011,Americas,Argentina,926.6
Per capita government expenditure on health (PPP int. $),2006,Americas,Argentina,543.4
Per capita government expenditure on health (PPP int. $),2007,Americas,Argentina,638
Per capita government expenditure on health (PPP int. $),2012,Americas,Argentina,1073.7
Per capita government expenditure on health at average exchange rate (US$),2003,Americas,Argentina,145.1
Per capita government expenditure on health at average exchange rate (US$),2002,Americas,Argentina,120.8
Per capita government expenditure on health at average exchange rate (US$),2004,Americas,Argentina,168.5
Per capita government expenditure on health at average exchange rate (US$),2006,Americas,Argentina,248.2
Per capita government expenditure on health at average exchange rate (US$),2007,Americas,Argentina,319.2
Per capita government expenditure on health at average exchange rate (US$),1996,Americas,Argentina,357.6
Per capita government expenditure on health at average exchange rate (US$),1997,Americas,Argentina,373.8
Per capita government expenditure on health at average exchange rate (US$),1999,Americas,Argentina,400.3
Per capita government expenditure on health at average exchange rate (US$),2005,Americas,Argentina,211.3
Per capita government expenditure on health at average exchange rate (US$),2008,Americas,Argentina,424.1
Per capita government expenditure on health at average exchange rate (US$),2010,Americas,Argentina,480.2
Per capita government expenditure on health at average exchange rate (US$),2009,Americas,Argentina,479.2
Per capita government expenditure on health at average exchange rate (US$),2001,Americas,Argentina,365.4
Per capita government expenditure on health at average exchange rate (US$),1995,Americas,Argentina,368
Per capita government expenditure on health at average exchange rate (US$),1998,Americas,Argentina,383
Per capita government expenditure on health at average exchange rate (US$),2000,Americas,Argentina,382.6
Per capita government expenditure on health at average exchange rate (US$),2012,Americas,Argentina,688.7
Per capita government expenditure on health at average exchange rate (US$),2011,Americas,Argentina,576.4
Per capita total expenditure on health (PPP int. $),2003,Americas,Argentina,717.1
Per capita total expenditure on health (PPP int. $),2008,Americas,Argentina,1195.2
Per capita total expenditure on health (PPP int. $),2009,Americas,Argentina,1371.4
Per capita total expenditure on health (PPP int. $),1996,Americas,Argentina,664.9
Per capita total expenditure on health (PPP int. $),2007,Americas,Argentina,1095.3
Per capita total expenditure on health (PPP int. $),2011,Americas,Argentina,1392.7
Per capita total expenditure on health (PPP int. $),2012,Americas,Argentina,1551.4
Per capita total expenditure on health (PPP int. $),1995,Americas,Argentina,649.1
Per capita total expenditure on health (PPP int. $),1997,Americas,Argentina,754.2
Per capita total expenditure on health (PPP int. $),2006,Americas,Argentina,993.5
Per capita total expenditure on health (PPP int. $),2010,Americas,Argentina,1306.4
Per capita total expenditure on health (PPP int. $),2004,Americas,Argentina,794
Per capita total expenditure on health (PPP int. $),2000,Americas,Argentina,841
Per capita total expenditure on health (PPP int. $),1999,Americas,Argentina,851.5
Per capita total expenditure on health (PPP int. $),2005,Americas,Argentina,903.2
Per capita total expenditure on health (PPP int. $),2002,Americas,Argentina,658.9
Per capita total expenditure on health (PPP int. $),1998,Americas,Argentina,801.5
Per capita total expenditure on health (PPP int. $),2001,Americas,Argentina,828.4
Per capita total expenditure on health at average exchange rate (US$),2003,Americas,Argentina,280.4
Per capita total expenditure on health at average exchange rate (US$),2002,Americas,Argentina,225.5
Per capita total expenditure on health at average exchange rate (US$),2006,Americas,Argentina,453.7
Per capita total expenditure on health at average exchange rate (US$),2004,Americas,Argentina,327.3
Per capita total expenditure on health at average exchange rate (US$),2005,Americas,Argentina,394.8
Per capita total expenditure on health at average exchange rate (US$),1997,Americas,Argentina,686.4
Per capita total expenditure on health at average exchange rate (US$),2011,Americas,Argentina,866.3
Per capita total expenditure on health at average exchange rate (US$),2007,Americas,Argentina,548
Per capita total expenditure on health at average exchange rate (US$),1995,Americas,Argentina,615.8
Per capita total expenditure on health at average exchange rate (US$),2009,Americas,Argentina,725.7
Per capita total expenditure on health at average exchange rate (US$),1999,Americas,Argentina,726.8
Per capita total expenditure on health at average exchange rate (US$),2001,Americas,Argentina,676.2
Per capita total expenditure on health at average exchange rate (US$),2012,Americas,Argentina,995.2
Per capita total expenditure on health at average exchange rate (US$),1996,Americas,Argentina,619.5
Per capita total expenditure on health at average exchange rate (US$),1998,Americas,Argentina,707
Per capita total expenditure on health at average exchange rate (US$),2000,Americas,Argentina,709.9
Per capita total expenditure on health at average exchange rate (US$),2010,Americas,Argentina,750.9
Per capita total expenditure on health at average exchange rate (US$),2008,Americas,Argentina,685.8
Per capita government expenditure on health (PPP int. $),1997,Europe,Armenia,22.8
Per capita government expenditure on health (PPP int. $),1995,Europe,Armenia,27.7
Per capita government expenditure on health (PPP int. $),1996,Europe,Armenia,24.6
Per capita government expenditure on health (PPP int. $),2000,Europe,Armenia,23.2
Per capita government expenditure on health (PPP int. $),1998,Europe,Armenia,29.2
Per capita government expenditure on health (PPP int. $),1999,Europe,Armenia,30.2
